wavelength_um,IF
350.5400085449219,0.15387660264968872
358.95001220703125,0.1586735099554062
366.2900085449219,0.16913239657878876
373.2200012207031,0.17416277527809143
379.489990234375,0.17568419873714447
387.8999938964844,0.1955631524324417
395.17999267578125,0.2057279348373413
402.5199890136719,0.2158031463623047
409.54998779296875,0.22587372362613678
417.30999755859375,0.23258040845394135
424.3599853515625,0.2413245588541031
431.8399963378906,0.25291162729263306
439.19000244140625,0.26599088311195374
446.5199890136719,0.26817402243614197
453.7200012207031,0.2770461440086365
461.6300048828125,0.2864508032798767
468.4100036621094,0.2925296425819397
476.2200012207031,0.3061181902885437
486.2900085449219,0.3037600517272949
489.6700134277344,0.314622700214386
497.7699890136719,0.31706342101097107
506.2799987792969,0.32724738121032715
512.219970703125,0.33275306224823
519.6300048828125,0.34277912974357605
527.6599731445312,0.3449942171573639
534.1599731445312,0.34835579991340637
541.5599975585938,0.35618963837623596
549.5399780273438,0.35477450489997864
556.1400146484375,0.3608686327934265
563.530029296875,0.3637094795703888
571.3099975585938,0.37252265214920044
578.0999755859375,0.3699784278869629
585.47998046875,0.3720387816429138
593.1199951171875,0.3744466006755829
599.3800048828125,0.37424445152282715
607.5700073242188,0.3769147992134094
615.0499877929688,0.3841840326786041
622.0700073242188,0.3805948793888092
629.4000244140625,0.3874063193798065
637.0399780273438,0.3856172263622284
644.0800170898438,0.38600409030914307
651.4199829101562,0.3864285349845886
659.0999755859375,0.3836940824985504
666.0900268554688,0.3874358832836151
673.4199829101562,0.3861016035079956
681.02001953125,0.3836981952190399
688.030029296875,0.3857591152191162
695.3499755859375,0.3832755982875824
702.8800048828125,0.3858092725276947
710.0,0.384784996509552
717.3300170898438,0.38440293073654175
724.8400268554688,0.3838951289653778
731.97998046875,0.38196465373039246
739.2999877929688,0.38444411754608154
746.760009765625,0.3837635815143585
753.9600219726562,0.38250723481178284
761.280029296875,0.3826605975627899
768.739990234375,0.3801767826080322
775.9500122070312,0.3812483847141266
783.280029296875,0.38066762685775757
790.719970703125,0.3783997595310211
797.9299926757812,0.38085880875587463
805.219970703125,0.38150203227996826
812.6199951171875,0.382424920797348
819.8900146484375,0.3784087598323822
827.2100219726562,0.37915778160095215
834.6300048828125,0.3832833170890808
841.9000244140625,0.3795503079891205
849.219970703125,0.38177868723869324
856.6300048828125,0.3835494816303253
863.9099731445312,0.37822431325912476
871.219970703125,0.383215993642807
878.6300048828125,0.3839224874973297
885.8900146484375,0.38585811853408813
893.8599853515625,0.3810662627220154
900.3200073242188,0.38438913226127625
907.8699951171875,0.38504499197006226
915.1799926757812,0.39090782403945923
922.5399780273438,0.39158809185028076
929.8300170898438,0.39040517807006836
937.1300048828125,0.3920896649360657
944.4500122070312,0.3952265679836273
951.77001953125,0.39489349722862244
959.0700073242188,0.39805468916893005
966.3800048828125,0.3960348069667816
973.8200073242188,0.39509904384613037
981.0,0.39458686113357544
988.8300170898438,0.39868485927581787
995.8800048828125,0.3928132653236389
1002.949951171875,0.3901000916957855
1010.0499267578125,0.3900812566280365
1016.9500122070312,0.3898251950740814
1024.7099609375,0.3903396725654602
1031.949951171875,0.39024290442466736
1038.6500244140625,0.3863644301891327
1045.97998046875,0.39803919196128845
884.2099609375,0.3863236904144287
900.7530517578125,0.38143014907836914
916.9238891601562,0.3904135227203369
933.077880859375,0.38777956366539
949.802978515625,0.3896898329257965
965.6829223632812,0.39470499753952026
982.2620239257812,0.3861615061759949
998.8201293945312,0.3886317014694214
1014.7900390625,0.3897031545639038
1031.3199462890625,0.3888249397277832
1047.5499267578125,0.39038243889808655
1065.4100341796875,0.39143380522727966
1081.830078125,0.3918207883834839
1098.06005859375,0.39698925614356995
1113.9600830078125,0.40052923560142517
1130.239990234375,0.3964642584323883
1146.949951171875,0.3947886526584625
1163.699951171875,0.398423969745636
1179.9599609375,0.39542442560195923
1196.2200927734375,0.3878920376300812
1212.4600830078125,0.3786523938179016
1228.5899658203125,0.37419816851615906
1244.9200439453125,0.3676101863384247
1261.6600341796875,0.36319395899772644
1278.1300048828125,0.3637360632419586
1294.8199462890625,0.3643399178981781
1310.9100341796875,0.365435928106308
1326.949951171875,0.373696893453598
1343.239990234375,0.37953826785087585
1359.52001953125,0.3847012519836426
1376.9500732421875,0.3861967623233795
1393.260009765625,0.38408929109573364
1409.4000244140625,0.3737594783306122
1425.570068359375,0.3545183539390564
1441.840087890625,0.31648576259613037
1458.4100341796875,0.26031211018562317
1475.1400146484375,0.19725556671619415
1491.6900634765625,0.14949841797351837
1507.9400634765625,0.13710206747055054
1524.2099609375,0.13853128254413605
1540.3499755859375,0.1404464989900589
1556.739990234375,0.13969488441944122
1573.6099853515625,0.15052610635757446
1590.1800537109375,0.17835484445095062
1602.280029296875,0.20366214215755463
1625.22998046875,0.22780945897102356
1641.5999755859375,0.19544389843940735
1655.6700439453125,0.18726544082164764
1672.3800048828125,0.21373625099658966
1689.010009765625,0.2545013427734375
1705.360107421875,0.2838442027568817
1721.75,0.30583199858665466
1738.0198974609375,0.31904175877571106
1754.3599853515625,0.3248714804649353
1771.0499267578125,0.32763364911079407
1787.7099609375,0.3281658887863159
1804.010009765625,0.3320852518081665
1820.0400390625,0.3339625597000122
1836.159912109375,0.3301222622394562
1852.8800048828125,0.324226975440979
1869.330078125,0.30443572998046875
1886.7900390625,0.26419568061828613
1902.6099853515625,0.213640958070755
1919.1600341796875,0.1656222939491272
1935.449951171875,0.1295696198940277
1951.9100341796875,0.10450008511543274
1968.7099609375,0.08993995934724808
1985.3099365234375,0.07825998961925507
2001.669921875,0.07217859476804733
2017.81005859375,0.06830507516860962
2034.239990234375,0.06785547733306885
2050.909912109375,0.06778686493635178
2067.570068359375,0.0718342661857605
2084.0,0.08154108375310898
2100.33984375,0.1002981886267662
2116.669921875,0.12866704165935516
2133.369873046875,0.16114023327827454
2150.18017578125,0.19621042907238007
2166.52001953125,0.22731715440750122
2182.8798828125,0.25389930605888367
2199.199951171875,0.27864670753479004
2215.909912109375,0.2956441640853882
2232.820068359375,0.3022303879261017
2249.52001953125,0.301888644695282
2266.22021484375,0.2865007817745209
2282.380126953125,0.2584080100059509
2299.2099609375,0.2324812263250351
2316.119873046875,0.20440153777599335
2333.25,0.1826830506324768
2350.429931640625,0.16713503003120422
2367.650146484375,0.15593798458576202
2384.719970703125,0.15247878432273865
2401.56005859375,0.147688090801239
2418.199951171875,0.14351117610931396
2434.7099609375,0.13967281579971313
2450.969970703125,0.1362992227077484
2467.22998046875,0.13057175278663635
2483.599853515625,0.12549647688865662
2500.02001953125,0.12185882776975632
2516.590087890625,0.11890165507793427
2532.919921875,0.11665785312652588
2549.159912109375,0.11445962637662888
2564.369873046875,0.11447381228208542
2581.760009765625,0.11540409922599792
